"date","FCmean","FCH4mean","LEmean"
20210101,NA,NA,NA
20210102,NA,NA,NA
20210103,NA,NA,NA
20210104,NA,NA,NA
20210105,NA,NA,NA
20210106,NA,NA,NA
20210107,NA,NA,NA
20210108,NA,NA,NA
20210109,NA,NA,NA
20210110,NA,NA,NA
20210111,NA,NA,NA
20210112,NA,NA,NA
20210113,NA,NA,NA
20210114,NA,NA,NA
20210115,NA,NA,NA
20210116,NA,NA,NA
20210117,NA,NA,NA
20210118,NA,NA,NA
20210119,NA,NA,NA
20210120,NA,NA,NA
20210121,NA,NA,NA
20210122,NA,NA,NA
20210123,NA,NA,NA
20210124,NA,NA,NA
20210125,NA,NA,NA
20210126,NA,NA,NA
20210127,NA,NA,NA
20210128,NA,NA,NA
20210129,NA,NA,NA
20210130,NA,NA,NA
20210131,NA,NA,NA
20210201,NA,NA,NA
20210202,NA,NA,NA
20210203,NA,NA,NA
20210204,NA,NA,NA
20210205,NA,NA,NA
20210206,NA,NA,NA
20210207,NA,NA,NA
20210208,NA,NA,NA
20210209,NA,NA,NA
20210210,NA,NA,NA
20210211,NA,NA,NA
20210212,NA,NA,NA
20210213,NA,NA,NA
20210214,NA,NA,NA
20210215,NA,NA,NA
20210216,NA,NA,NA
20210217,NA,NA,NA
20210218,NA,NA,NA
20210219,NA,NA,NA
20210220,NA,NA,NA
20210221,NA,NA,NA
20210222,NA,NA,NA
20210223,NA,NA,NA
20210224,NA,NA,NA
20210225,NA,NA,NA
20210226,NA,NA,NA
20210227,NA,NA,NA
20210228,NA,NA,NA
20210301,NA,NA,NA
20210302,NA,NA,NA
20210303,NA,NA,NA
20210304,NA,NA,NA
20210305,NA,NA,NA
20210306,NA,NA,NA
20210307,NA,NA,NA
20210308,NA,NA,NA
20210309,NA,NA,NA
20210310,NA,NA,NA
20210311,NA,NA,NA
20210312,NA,NA,NA
20210313,NA,NA,NA
20210314,NA,NA,NA
20210315,NA,NA,NA
20210316,NA,NA,NA
20210317,NA,NA,NA
20210318,NA,NA,NA
20210319,NA,NA,NA
20210320,NA,NA,NA
20210321,NA,NA,NA
20210322,NA,NA,NA
20210323,NA,NA,NA
20210324,NA,NA,NA
20210325,NA,NA,NA
20210326,NA,NA,NA
20210327,NA,NA,NA
20210328,NA,NA,NA
20210329,NA,NA,NA
20210330,NA,NA,NA
20210331,NA,NA,NA
20210401,NA,NA,NA
20210402,NA,NA,NA
20210403,NA,NA,NA
20210404,NA,NA,NA
20210405,NA,NA,NA
20210406,NA,NA,NA
20210407,NA,NA,NA
20210408,NA,NA,NA
20210409,NA,NA,NA
20210410,NA,NA,NA
20210411,NA,NA,NA
20210412,NA,NA,NA
20210413,NA,NA,NA
20210414,NA,NA,NA
20210415,NA,NA,NA
20210416,NA,NA,NA
20210417,NA,NA,NA
20210418,NA,NA,NA
20210419,NA,NA,NA
20210420,NA,NA,NA
20210421,NA,NA,NA
20210422,NA,NA,NA
20210423,NA,NA,NA
20210424,NA,NA,NA
20210425,NA,NA,NA
20210426,NA,NA,NA
20210427,NA,NA,NA
20210428,NA,NA,NA
20210429,NA,NA,NA
20210430,NA,NA,NA
20210501,NA,NA,NA
20210502,NA,NA,NA
20210503,NA,NA,NA
20210504,NA,NA,NA
20210505,NA,NA,NA
20210506,NA,NA,NA
20210507,NA,NA,NA
20210508,NA,NA,NA
20210509,NA,NA,NA
20210510,NA,NA,NA
20210511,NA,NA,NA
20210512,NA,NA,NA
20210513,NA,NA,NA
20210514,NA,NA,NA
20210515,NA,NA,NA
20210516,NA,NA,NA
20210517,NA,NA,NA
20210518,NA,NA,NA
20210519,NA,NA,NA
20210520,NA,NA,NA
20210521,NA,NA,NA
20210522,NA,NA,NA
20210523,NA,NA,NA
20210524,NA,NA,NA
20210525,NA,NA,NA
20210526,NA,NA,NA
20210527,NA,NA,NA
20210528,-7.53806954545455,253.787078947368,163.11559187234
20210529,NA,255.65312,NA
20210530,NA,NA,NA
20210531,-4.99927642553191,174.896835555556,153.962310454545
20210601,-5.50698313043478,142.131140540541,119.974277673913
20210602,-4.6935718974359,195.499586206897,110.259850487805
20210603,NA,NA,NA
20210604,NA,NA,NA
20210605,-2.42923517073171,NA,72.5027581395349
20210606,NA,NA,NA
20210607,NA,NA,NA
20210608,NA,NA,NA
20210609,NA,NA,NA
20210610,NA,NA,NA
20210611,NA,NA,NA
20210612,NA,NA,NA
20210613,NA,NA,NA
20210614,NA,NA,NA
20210615,NA,NA,NA
20210616,-9.05163034210526,235.207903225806,133.102451581395
20210617,-5.17167534782609,241.281808510638,203.509208043478
20210618,NA,NA,NA
20210619,-4.84230355555556,253.15875,128.637506382979
20210620,-4.82719848888889,290.890505,119.750136666667
20210621,NA,205.28135483871,NA
20210622,-2.75304702439024,280.263127272727,83.5833754
20210623,-3.92098644444444,236.776817647059,50.4168293333333
20210624,-6.6702627027027,185.511371428571,101.25529172973
20210625,-3.25264773846154,234.073386842105,106.028896444444
20210626,-3.13881595555556,213.371916666667,109.297094577083
20210627,-4.07664527906977,209.493857142857,105.14567826087
